Year,Series,Series Label,Economy,Economy Label,Flow,Flow Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,Percentage of imports,Percentage of imports Footnote,Percentage of Gross Domestic Product,Percentage of Gross Domestic Product Footnote,Normalized trade balance,Normalized trade balance Footnote
2017,3503,"Balance of payments: Current account - BPM6",3331,"ECLAC: Caribbean",14,"Balance",-10414.936,,-38.20551,,-12.17564,,-0.2361,
2017,3503,"Balance of payments: Current account - BPM6",3332,"ECLAC: Latin America",14,"Balance",30178.711,,3.16902,,0.5406,,0.0156,
2017,3503,"Balance of payments: Current account - BPM6",3340,"ESCAP (Economic and Social Commission for Asia and the Pacific)",14,"Balance",628373.755,,10.35391,,2.09403,,0.0492,
2017,3503,"Balance of payments: Current account - BPM6",3341,"ESCAP: Africa",14,"Balance",-54177.631,,-11.41012,,-2.56898,,-0.0605,
2017,3503,"Balance of payments: Current account - BPM6",3342,"ESCAP: Latin America",14,"Balance",19921.962,,2.03368,,0.35023,,0.0101,
2017,3503,"Balance of payments: Current account - BPM6",3343,"ESCAP: Europe",14,"Balance",315279.375,,5.39798,,1.67902,,0.0263,
2017,3503,"Balance of payments: Current account - BPM6",3344,"ESCAP: East and North-East Asia (ENEA)",14,"Balance",598624.372,,17.42298,,3.14264,,0.0801,
2017,3503,"Balance of payments: Current account - BPM6",3345,"ESCAP: North and Central Asia",14,"Balance",129608.016,,41.54847,,6.71955,,0.172,
2017,3503,"Balance of payments: Current account - BPM6",3346,"ESCAP: South and South-West Asia",14,"Balance",-253090.392,,-28.21806,,-5.46649,,-0.1643,
2017,3503,"Balance of payments: Current account - BPM6",3347,"ESCAP: Pacific",14,"Balance",10085.889,,3.68957,,0.66964,,0.0181,
2017,3503,"Balance of payments: Current account - BPM6",3348,"ESCAP: Pacific island developing economies (PIDE)",14,"Balance",713342.872,,19.41483,,3.45781,,0.0885,
2017,3503,"Balance of payments: Current account - BPM6",3349,"ESCAP: Other area",14,"Balance",209688.443,,33.42835,,9.71566,,0.1432,
2017,3503,"Balance of payments: Current account - BPM6",3350,"ESCAP: East and North-East Asia, incl. the Russian Federation",14,"Balance",713342.872,,19.41483,,3.45781,,0.0885,
2017,3503,"Balance of payments: Current account - BPM6",3355,"UNECE (Economic Commission for Europe)",14,"Balance",-442734.078,,-4.78845,,-1.0248,,-0.0245,
